"Distance","Longitude","Latitude","Elevation","Horizon","method","ID","Range"
17874.08205,35.30963388,32.4434956,-13,"eocene_Base","Source","DD'",NA
18532.16322,35.31605436,32.44111124,7,"eocene_Base","Source","DD'",NA
19190.25664,35.3224745,32.43872656,24,"eocene_Base","Source","DD'",NA
19848.36108,35.3288943,32.43634155,13,"eocene_Base","Source","DD'",NA
20506.47549,35.33531376,32.43395621,30,"eocene_Base","Source","DD'",NA
21164.59894,35.34173288,32.43157055,55,"eocene_Base","Source","DD'",NA
21822.7306,35.34815167,32.42918456,60,"eocene_Base","Source","DD'",NA
22480.86976,35.35457011,32.42679824,92,"eocene_Base","Source","DD'",NA
22484,35.35457011,32.42679824,58.87,"eocene_Base","linear","DD'",NA
27737,35.40590542,32.40769603,53.41,"eocene_Base","linear","DD'",NA
27746.1889,35.40590542,32.40769603,183,"eocene_Base","Source","DD'",NA
28404.37357,35.41232081,32.40530678,170,"eocene_Base","Source","DD'",NA
29062.56163,35.41873586,32.40291722,114,"eocene_Base","Source","DD'",NA
29720.75286,35.42515056,32.40052733,NA,"eocene_Base","Source","DD'",NA
30378.94706,35.43156493,32.39813711,NA,"eocene_Base","Source","DD'",NA
31037.14404,35.43797896,32.39574657,NA,"eocene_Base","Source","DD'",NA
31695.34362,35.44439264,32.39335571,NA,"eocene_Base","Source","DD'",NA
32353.54565,35.45080599,32.39096452,NA,"eocene_Base","Source","DD'",NA
33011.74998,35.457219,32.388573,NA,"eocene_Base","Source","DD'",NA
33669.95647,35.46363167,32.38618116,NA,"eocene_Base","Source","DD'",NA
34328.16501,35.470044,32.383789,NA,"eocene_Base","Source","DD'",NA
35078.09556,35.47715173,32.38069785,NA,"eocene_Base","Source","DD'",NA
35828.06033,35.48425897,32.3776063,NA,"eocene_Base","Source","DD'",NA
36578.05722,35.49136573,32.37451435,NA,"eocene_Base","Source","DD'",NA
37328.08429,35.498472,32.371422,NA,"eocene_Base","Source","DD'",NA
38105.47212,35.50605802,32.36862121,NA,"eocene_Base","Source","DD'",NA
38882.86626,35.51364357,32.36581997,NA,"eocene_Base","Source","DD'",NA
39660.26634,35.52122865,32.36301828,NA,"eocene_Base","Source","DD'",NA
40437.67202,35.52881326,32.36021613,NA,"eocene_Base","Source","DD'",NA
41215.08298,35.5363974,32.35741353,NA,"eocene_Base","Source","DD'",NA
41992.49892,35.54398107,32.35461047,NA,"eocene_Base","Source","DD'",NA
42769.91958,35.55156427,32.35180696,NA,"eocene_Base","Source","DD'",NA
43547.3447,35.559147,32.349003,NA,"eocene_Base","Source","DD'",NA
0,35.173912,32.460024,NA,"alluvium_Base","Source","EE'",NA
